Var1	survey_adults_employed	survey_aquarium	survey_canal_ditch	survey_car_washed_less_often	survey_cistern	survey_clothes_washer	survey_clothes_washer_front	survey_clothes_washer_top	survey_clothes_washer_used_less	survey_conservation	survey_conservation_shower_short	survey_dishwasher	survey_dishwasher_used_less	survey_disposal	survey_disposal_used_less	survey_evap_cooler	survey_faucet_drips_repaired	survey_floors	survey_garden_flower	survey_garden_veggie	survey_gray_water_last_few	survey_greenhouse	survey_has_alternative_source	survey_has_apartment	survey_has_been_audited	survey_hot_tub	survey_hot_water_solar	survey_hot_water_tankless	survey_household_pays	survey_humidifier	survey_ice_maker	survey_irrigation	survey_irrigation_avoid_heat	survey_irrigation_efficient_system_installed	survey_irrigation_hand	survey_irrigation_HOA	survey_irrigation_hose_sprinkler	survey_irrigation_inground	survey_irrigation_inground_back	Survey_Irrigation_InGround_Back_Automatic	survey_irrigation_inground_cycle	survey_irrigation_inground_drip	survey_irrigation_inground_front	Survey_Irrigation_InGround_Front_Automatic	survey_irrigation_inground_timer	survey_irrigation_inground_timer_adjusted_conservation	survey_irrigation_less_often	survey_irrigation_other	survey_irrigation_sensor_rain	survey_irrigation_sensor_soil	survey_irrigation_soaker	survey_irrigation_xeri	survey_number_of_adults_summer	survey_number_of_adults_winter	survey_number_of_bathroom_sinks	survey_number_of_bathtub_only	survey_number_of_bathtub_showers	survey_number_of_bathtubs	survey_number_of_children_summer	survey_number_of_children_winter	survey_number_of_kitchen_sinks	survey_number_of_shower_only	survey_number_of_showers	survey_number_of_showers_lfsh	survey_number_of_teenagers_summer	survey_number_of_teenagers_winter	survey_number_of_toilets	survey_number_of_toilets_16	survey_number_of_utility_sinks	survey_number_of_whirlpools	survey_other_conservation	survey_other_sources	survey_pool	survey_pressure_regulator	survey_rain_barrel	survey_renter	survey_replaced_showerheads_LF	survey_replaced_toilets_ulft	survey_roof_direction	survey_separate_meters	survey_SFR	survey_stream	survey_toilet_inserts	survey_treatment	survey_water_feature_outdoor	survey_water_feature_outdoor_fountain	survey_water_feature_outdoor_pond	survey_well	reuws1_attitude_A	survey_drought	survey_highest_grade	AnnualKgal	Averageclotheswasherloadgal	Averageshowergal	Averageshowermodeflowgpm	Averageshowerseconds	Averagetoiletflushvolume	Bathtubgpd	capita	Clotheswashergpd	Clotheswasherloadsperday	Dishwashergpd	Faucetgpd	IndoorGPD	irrigated_area_sqft	Leakgpd	NonseasonalKgal	Othergpd	OutdoorGPD	SeasonalKgal	Showergpd	Showerminutesperday	Showersperday	Survey_Car_Washed	survey_home_value	survey_homies	survey_household_income	survey_indoor_sqft	survey_irrigation_pct	survey_landscape_pct	survey_landscape_turf_pct	survey_monthly_rent	survey_number_of_adults	survey_number_of_children	survey_number_of_teenagers	survey_parcel_sqft	survey_walk_washed	survey_year_built	survey_year_moved_in	Toiletflushstdev	Toiletgpd	TotalGPD	survey_age_of_home	RandomSequence	pct_flushes_gt_2_2	pct_flushes_lt_2_2
survey_adults_employed	 	.893748472955956	.453613414081943	.00465415655173543	.521666657788689	.0168784863461058	.22726979557053	.396092481747169	.0141561272491186	.0675186505118751	.652102699889362	2.72267504423393E-008	.0128127149829015	.101981249740241	4.96086637823564E-006	.0589968995649076	.231231068806798	1.86478289233308E-010	.0467794145521789	.400601112863051	.104796651497413	.00947346792422649	.445761730718875	.000279525317365139	.11581811366215	1.07885614320173E-007	.385446349134379	.925684967081249	.00874526434122398	.613476042986669	.242869980950616	.087919694954384	1.74979823929E-014	.172904987246335	.379237924686993	.101142392015565	.00515465528794745	.234161433968451	.182827265175436	.708219102618797	.713402287476275	.149029972733778	.395236351889688	.955953226022156	.823662476608056	.13203280175461	.694536978230488	.164754992747313	.121211457276805	.734388511494101	.42897945314963	.53562846654538	3.03159313021909E-308	1.08432722838944E-298	1.23456776969528E-009	.000123245774232533	6.33685074909631E-019	7.45838124182779E-012	3.94860566693874E-020	1.17944631471773E-021	.0347177373425802	.67366986026753	5.8562121947345E-017	8.72463330274228E-010	2.4770643454719E-022	6.56364782179224E-022	1.45327512343977E-008	.246854196175294	.168523937022908	.0212143688140029	.509881882464546	.0519563802644477	5.58387102564982E-008	.0389833167575697	.358533226309792	2.96812416349467E-008	.00395640126488979	.605212986962791	.0770062536291819	.537101075583672	.000995646441645244	.926026665761425	.887908710892562	.605666118117453	.0152936935180045	.895776580239859	.00166596708554429	.0413940459511868	.000234489792541418	4.55759968652837E-005	2.83363596237797E-017	2.40658019735275E-015	.0218719784483789	.00571450433541705	.115586604203554	.00329844807527533	.746190619857875	.270452737612472	8.77903323015512E-230	2.77258246410959E-018	1.12079055659249E-016	.092115491694323	.00242797723812088	8.14362722321559E-017	.994615882152891	.327124797348075	1.22964049533722E-017	.626723928659456	.678136117086052	.477056639419178	7.34154799219775E-036	5.06020976771279E-037	7.10889356812128E-038	1.49090558681104E-024	.182928241326018	0	3.67134999193744E-078	.00428879164057533	3.38822212660993E-005	.256460309976963	1.28791123890671E-005	.0204153972126916	0	3.70905002701586E-021	1.54434573198229E-022	.144108036059656	.000139124652258	5.57566901525951E-019	1.83704908439533E-153	.371581829412925	4.90688603189478E-007	.0448830707854515	5.57566901525951E-019	.798644475017504	.92233167977416	.92233167977416
survey_aquarium	.893748472955956	 	.221136575427285	.449371470754713	.71451134628111	.899935973193976	.241656798466328	.155833878556513	.422845544659857	.320414451514675	.11028809110157	.0742417319183521	.809277844085701	.910753140440362	.577312304269425	.335291481091597	.711478047310232	.481569886307761	.967233176842519	.0435385768190504	.00899857718630314	.451247290938261	.477164567398433	.774099123448509	.405630050585237	.856684814977893	.852993246471548	.814633947465912	.459451238379893	.511896418855137	.838369415102344	.347824937477093	.797166272675375	.895306974840779	.945594062628984	.814633947465908	.578179650160931	.41341832469967	.627831102717578	.192216763740251	.981863061931584	.236997606411548	.112746335561574	.0690631577583135	.103370151008481	.312624687749	.915356523903023	.0733858140338476	.375440184014972	.585605653435372	.77717552114709	.250406628585124	.636806538771709	.805185656909478	.216605793642911	.849974640663836	.237054653326813	.788558906615241	.86580914916173	.861077801153537	.788200878513341	.312477465425608	.174204822169859	.867382950282563	.337213895115729	.463868838233488	.0378408750587069	.0608524525884791	.790098435368714	.481826714213181	.234892453278383	.559079413011018	.74708033813579	.277389964932595	.179217483422135	.0255046512644097	.148116344493105	.745679938936128	.377736008195456	.4209776292893	3.44457011529359E-006	.887997641360718	.508980871971077	.143695623871977	8.89616522437743E-005	.0767899990355101	2.09403913644845E-008	.156267506110379	.373991610498854	.480119263447897	.840992724532062	.839099630469029	.0585385961713976	.879247975303525	.469096348899162	.716476782735678	.743684200273855	.677634862961513	.479914289484289	.711972555794665	.892582859247242	.98223032632896	.476019983182622	.987574952379585	.411933402668144	.768151162395817	.99696577646213	.758668957943114	.218861843615242	.128363034595511	.266998159767618	.197025313670224	.274964318663781	.637764307796514	.766009207903158	.666422618008103	.113465536436568	.103777270446409	.850066344180879	.193423699584092	.631844856005177	.29650782886997	.709066951284494	.862507901731584	.392052397482538	.298213461418394	.890595127737266	.516304550613426	.400621901477814	.753365205968875	.519008364237531	.266581088912568	.516304550613423	.0177886954163615	.603882835920819	.603882835920821
survey_canal_ditch	.453613414081943	.221136575427285	 	.291360068882758	.193023902508102	.0329325616233171	.941305756154372	.169257737790514	.130263663195777	.382269820644586	.0744584236006288	.607032571945297	.643586407469117	.212305304269429	.954441542122533	1.25946102110556E-008	.386452550878983	.153478143479498	.0445172790734026	.16306663789144	.0685613685980183	.723686245044597	1.52838729461389E-005	.192170608224627	.539082644186226	.25374912737865	0	.723813415861681	0	.539082644186226	.539082644186226	5.17711554509651E-010	.240092616890537	.367809971924591	.121499561950657	.723813415861682	.0168578057754696	.0283195213517437	.00854867198230064	.163649502573403	.616644056701057	.382416182047523	.13515624427018	.29348682610054	.199792926148816	.327101674642751	.026269664050521	.401660150374084	.255390379448056	.597437079442393	.569290366910829	.186226192055448	.53298900450895	.718441774764579	.11527011707516	.847272984752101	.441438529349962	.32195906804606	.332848092108493	.124818753907906	.584406842981893	.209488046571092	.0240093520223031	.775761878513038	.957281853188402	.994386249335218	.0220931705329489	.833250430120396	.552370525679591	.0114389278555159	.0571366870163381	0	.0233312444061814	.0980363876308782	.0375647305286704	.24225018191758	.0675406877439193	.73866974283661	.00353536863646926	.640689298155333	.55984435416596	.616644056701057	.796402769586229	.176780868151945	.790380551723064	.0803201138711064	.426185009932917	2.74285324646202E-007	.239489575226361	.00471258482526152	.0469808158879384	1.60009681254465E-005	.99333797415776	.505713692691719	.13519993729499	.632786015569746	.469845217322824	.505133515805417	.627096339031126	.632995783366634	.561799744412299	.0480160573461844	.836686572394952	.583984571008621	.0398628036410424	.437422434903534	.500551404266861	.71086702247227	.139046889486163	.146175028181443	.774077575926093	.565588764489434	.649313652663784	.586826654792221	.838464026454453	.424389815981871	.394595777315964	.00564004198747889	.108968657316006	.183621997269402	.00125145978731681	.525000101109885	.610110043231049	.206650579308411	.975549646891711	.00690685017647646	.129168545883407	.0808712936591112	.662266422500569	.193406078994693	.608897496889327	.132647547115148	.0808712936591094	.930109229380014	.455655867925911	.455655867925911
survey_car_washed_less_often	.00465415655173543	.449371470754713	.291360068882758	 	.221047760985078	.00347841588670016	.320910256070542	.00186512663566458	6.08432187235696E-057	4.56186673734135E-041	5.41705284644969E-075	.900263095814773	3.90303734649137E-032	.582172927360561	2.33594473464783E-040	.142399234770947	1.14071190049973E-048	1.98835926847042E-005	.852610324167782	.185868795510193	8.32863070897402E-007	.247457685973731	.664744257248388	.32332379118882	.00666337493508696	.313566447683533	.517042636020398	.204485606908037	.0752997766385672	.0330394833456443	.50306295641947	.942809460709813	4.95899777949108E-034	.00371534980708203	3.11706464530785E-006	.819662748665289	.809833850256612	.317615634375625	.322890504129664	.00459738243763419	1.48697890369182E-006	.0623320804789625	.566027655469212	.000361549056545224	.000843206899486834	4.80555997279361E-006	1.350504491936E-123	.0613212868195392	.0758459020411635	.281231411782911	.0803301390902944	3.70589605294344E-005	8.50350116316609E-007	9.38399122195707E-007	.0786877787518137	.294481504224681	.0150509356948611	.292640703464985	.0641047023661056	.0413658888894948	.450614314975824	.893332521720227	.187998590523985	.000251575583896059	.00752116808491407	.0191273729753739	.131255629270708	.270333250579421	.0816457170769496	.615581424580462	.180789512377225	.147051464093251	.281500779847473	.00135673547019972	.706175580725443	.109835943056781	5.26691340852454E-017	.00013064798801321	.36260295604935	.00359213159301661	.424657562864762	.0685658226902156	1.21314645026118E-006	.0339195581603379	.495495266196382	.667985780532401	.689621289715066	.630910351060911	1.94011428388286E-015	4.04839663303483E-007	.0173048393860553	.525018017085572	.239245631937843	.413564194619296	.0728818703241626	.324342873803221	.805279087514762	.451181336389432	1.43935047416142E-007	.106013457782329	.151371261641479	.664112107342574	9.31919508869104E-007	.0167444832515277	.423110012457258	.600287478794017	.0173284029496877	.752944317441681	.898013347455857	.534393712311205	.0744480625953818	.00435855107258854	.00297904844206315	2.56898854178981E-007	.00322645862624961	.184266477999775	3.5313439560023E-005	.00734215951789628	.000477151432374327	.0931440353277341	1.65923255174654E-006	.119994113151178	5.10948413183622E-007	.0501160724340957	.0112427035149829	.330769895396936	.551102500752578	.211296847462604	.569962222090851	.320698993686016	.00521307651961887	.510950612037124	.211296847462604	.530628529982278	.992701294632844	.992701294632843
survey_cistern	.521666657788689	.71451134628111	.193023902508102	.221047760985078	 	.520626565176509	.280991082979098	.455068959741363	.147017224383836	.364404327374712	.68119393843	.32784830841791	.899739052696257	.152908517339682	.587635031372197	.32684543470604	.474428351830265	.0579410589556967	.137979274829558	.176912813410584	.0474168229137714	.410692926095275	.000590326536821172	.437696738101169	.71451134628111	.935256446744103	0	.833288704245816	0	.71451134628111	.71451134628111	.200551646087005	.573668724753281	.000284919594521526	.00371941945435592	.833288704245816	.757446579696612	.014763454501097	.0594499464207534	.347904401640196	.765570853382709	.0118845309070421	.00664358367851985	.081030953989375	.157262411430979	.711745737787525	.00752459464182125	.824221221995779	.537321584498519	.774399040975471	.199135084775255	.0542052089169211	.407726788248857	.539616414197255	.183937697006617	.698524765885264	.561421017960125	.244008783706198	.541562184304755	.557831154736215	.531698932280603	.745115389447178	.30376484180565	.95062853082688	.200072887673416	.199048507401555	.219350029423023	.350337350063896	.532457926339147	.783095031584611	.536021825916467	0	.591592244396631	.556118615356209	.216481288938981	.266972310881415	.0117758813342914	.378020017780835	.327678975503841	.0432030613403915	.912902809207962	.765570853382709	.125519129251271	.886718732069667	.0012137761806004	.00125106269498935	.0794725957223362	.0025361939575233	.0513105565781875	.684154937431669	.452198707237735	.137501874815665	.706880359700525	.467592629606534	.530650557364971	.106260957146633	.406689378718134	.5691390338461	.236480425469212	.754089953272263	.8463406107383	.839763372487585	.552551820844222	.473485002340561	.571385069760794	.297243518616829	.484389052428634	.643034471076353	.64737660468074	.559912609938499	.918578035378058	.614453134872266	.955011309316217	.70627905456962	.511756706895913	.189701524665233	.848432561763833	.12527254059822	.00730143929844924	.718164446288536	.0310706382171673	0	.456471845759301	.545340150560849	.19858991443046	.988761793782629	.459087998544104	.864799411611412	.0993978398803209	.788002860219415	.600978794175478	.403681291993173	.86479941161142	.282669432165	.293434716438355	.293434716438355
survey_clothes_washer	.0168784863461058	.899935973193976	.0329325616233171	.00347841588670016	.520626565176509	 	.0569947497852039	0	7.63753994268323E-025	.000718201229036292	.839829571173353	1.23703844720462E-058	5.0267707728494E-022	9.23017314939605E-032	1.36969480061759E-005	.645148870536803	.004326371642287	.000218428136010086	5.48776604271234E-009	.0669708134963304	.0963183287989793	.189565139208973	.569343051326605	.107066574696135	.244444049520754	.0034668949382838	.730033786479993	.662389979402766	1.79957294554481E-005	.221886845806405	.0875301080574484	7.46244566634955E-018	.000900958132081381	.0370932275946523	.988444663312347	.662389979402766	.0188620640398008	3.40413308410649E-011	1.04880865450445E-009	2.14610780151732E-007	.788818864055456	.000438398244717446	9.11374725672746E-010	1.37235953811871E-007	5.04068853089562E-008	1.3090684239656E-005	.220597300403384	.522345838527756	.296314267692078	.307372306221616	.56222346355303	.00707560847565255	.00125730918100375	.000857596590498753	1.58090149117435E-021	.714097848142756	1.90345949518597E-005	.000158384989010517	.00240042885699078	.00333001630842282	.998926011399974	3.25139754065821E-011	2.58676324216236E-019	1.86539711518492E-009	.0748107927155384	.0265902515771642	1.41551534777456E-022	.000356038270057481	6.08244778954811E-006	.00175843514945934	.107940881544312	.459899885004179	2.38725438040715E-006	5.02609794336698E-005	.315603500057738	2.86578257321688E-013	3.75664819559484E-007	.0199532504103078	.67742776872356	.349507101264924	1.47374589318064E-005	.804720183859025	.47878261564021	1.22846490008982E-006	.214494616418885	.396879826389879	.353106970530278	.272227054577786	.973840413339193	.126527967073409	3.29383586981227E-007	1.14017357644131E-007	.355681020512074	.408233850067913	.837485314269223	.770912630898998	.687293881806748	.724718738437816	1.1265256864828E-007	.0283531238467633	.0275858862648617	.0888108042925266	.111755095654013	.00684618260429754	.61643361619046	.885606182596581	.00673291578450772	.924577817745956	.225770381461113	.206454223629439	.140326540736664	.0767130446605232	.0128022484648781	.00359331262036913	4.72744539457191E-006	.301141784587376	3.87450422205774E-013	7.46196668049322E-014	.0230055572878421	.485498753560499	.612570901995263	.00254748596479038	.000803047411750574	.00264327244149325	.0436780293376227	.106441695190289	.0420402563177788	1.63944202721543E-010	.599668770544234	.501355332923759	.012325700693721	.107677272071435	1.63944202721593E-010	.659397475715514	.161390932677797	.161390932677797
survey_clothes_washer_front	.22726979557053	.241656798466328	.941305756154372	.320910256070542	.280991082979098	.0569947497852039	 	1.23908069916889E-211	.872461048688644	.270250230507223	.0591642225401036	.0704640553473187	.0173300858848041	.169514737747068	.297610994989964	.516905838688035	.790804752129448	.111507321600886	.529004216601254	.491908388488373	.794661784282257	.559275707278317	.127586840775525	.0309526127635521	.586371434596761	.538514177926733	.740835796889902	.63982683725881	.277706653307679	.632282899975467	.261926625350016	.0103963890580902	.238301159830395	.189611379801843	.0269751834959644	.639826837258813	.216108433808202	.284023671914065	.330955356743728	.823792210357846	.741176464757377	.0429356854340666	.278848548210264	.950576449267246	.933791789926587	.283500280698434	.622497535222092	.858647384209602	.664625104005797	.975110126199814	.122951610746928	.210471029762704	.100120567887404	.0964292915834303	.248425574467488	.000476936851244105	.324101407547125	.0539284036843078	.268027037015627	.126038486087209	.00014923011606903	.688646982775446	.913291771790206	.101401124349335	.0944828716947933	.132136635785172	.869290600942061	.112048710750076	.593457286971826	.0113860037190586	.436837315215355	.477882681011519	.767423144648095	.604718175042697	.990912608335758	.022691412105384	.0727288268131593	.714084717749292	.213356601102524	.154749375842673	.348048072477356	.852807972380235	.859823190442449	.380058421168963	.150840289617568	.646050097599494	.155280677465549	.303144473486328	.0658167085685393	.280841787162051	.0383363535489694	.988984140542339	.0239177460973727	.278781853520428	.102466094316657	.881040629949767	.643809473990564	.0418253755245396	.020845680189287	.589662028748737	.150583859407268	.968681929284996	.0219938039438391	.0496766009159628	.692433817284787	.0245354555987722	.0411080604498181	.522696047900031	.384558839918635	.311962626812575	.690137985545581	.107825688944024	.00768861265862001	.137369526913119	.0362274824065566	.840549694651618	.912062696895594	.389668821669434	.061424522166311	.562765684603749	.448628765432367	.960618654869289	.119693125721299	.184867683499311	.108423736630733	.117898984405932	.11608033618586	.325340621104187	.307484475188654	.256606344074178	.725546747222258	.71069182230979	.325340621104185	.0241888942191167	.184128836126191	.184128836126191
survey_clothes_washer_top	.396092481747169	.155833878556513	.169257737790514	.00186512663566458	.455068959741363	0	1.23908069916889E-211	 	4.50308290619762E-017	.00475761231840043	.884089294820289	5.25201744652655E-051	5.94999961939065E-021	4.98479532315381E-028	1.91374671582694E-006	.709435126076659	.0441006183395303	.0381304650162053	5.25757274656364E-008	.0318041034629451	.481453073643104	.317303894617057	.581405289719202	.10072214885908	.170755615090798	.00237268350451288	.665010423238071	.583784295740831	2.90603549565917E-005	.396193982979183	.0990654981529692	4.57340318566459E-017	.00977553857934646	.0196247307857114	.146925978926981	.583784295740828	.0602904206806584	1.96227040602982E-009	3.34403156779482E-008	1.5738923298545E-006	.288992184432327	.000176416747096037	1.98353069204944E-008	5.5668574957245E-007	3.17908821409911E-007	3.84022495631797E-006	.276309590425302	.669942923793643	.27765229610391	.642575866659099	.389232074826965	.0150179188638353	.0403540691881874	.0245548275706701	6.2711006132925E-021	.501824624746338	1.77298892580338E-005	.00100083982674225	.101813672945667	.168350189849857	.491357262138908	2.19780911749568E-010	2.17009287153619E-019	3.76058395334597E-010	.551650863034994	.197496432169246	2.64864067797499E-019	.00480018865835815	2.01968136828952E-005	.000556123761334619	.128943305408424	.506454000495705	3.11159785176388E-006	1.55887041122216E-006	.667687784150973	7.76713496665327E-015	8.43913647706399E-007	.0708493922405973	.830499158936877	.0881878859881532	.0013015338000434	.764394590166026	.523225414609762	1.89652692666527E-005	.37674794497741	.287739239263648	.787716559108812	.486021524564791	.30381627523609	.553389719616201	9.69929339689912E-008	1.23082981782087E-005	.105295533172965	.381672546051167	.873439255658848	.546667691440739	.942337548854441	.699226483540544	.00069720563499581	.401703455461156	.616492064359812	.96024343142158	.533806153061732	.241914015803396	.232481654452607	.18533079837575	.259726989501355	.955993894678096	.169283881333986	.128338457630165	.262514455515648	.209068934996951	.0398287158433477	.10148880998286	.000959669602454748	.121876072790788	2.90402048071942E-009	3.82741844659864E-010	.0413218337343637	.344092575599404	.499802642359876	.00111997391026195	.0222790419013979	.129123403564449	.343383318725573	.404045579971769	.165904728255233	1.68459292145604E-008	.745749689041041	.889013323244524	.128208236804566	.1502797605187	1.68459292145604E-008	.953312740173892	.384124421338828	.38412442133883
survey_clothes_washer_used_less	.0141561272491186	.422845544659857	.130263663195777	6.08432187235696E-057	.147017224383836	7.63753994268323E-025	.872461048688644	4.50308290619762E-017	 	1.65406930799296E-093	3.21379422833199E-106	.000197895715373166	3.83865108054244E-193	.000174527842567618	1.45390576404537E-078	.753824961527352	3.99547112756053E-067	.000717914683161967	.00205909442442502	.991515755900764	3.83133706090529E-011	.382668339455643	.383568796403454	.388508702451651	.216141443605712	.174274989776369	.700924141690135	.936041478848899	.0638739488529659	.321714141122594	.810448524252528	.0124468324604453	6.05100455181042E-058	.00129959899837737	5.66683039176629E-008	.181764571612521	.774636623807373	.0465415797339177	.05707314011308	.304794436881403	.0330060478051077	.709318395524814	.0290413183768243	.175708319949025	.214395116132503	4.85960019663325E-016	2.93272098913287E-049	.428500974541599	.663010107885721	.0162699188606277	.0312813601520864	1.44138956423262E-014	.147881086030851	.334208570832694	.843906890333681	.246746643902193	.41942265620168	.314059374237535	.0222908620504838	.0237160739262549	.293480843632519	.671555463259836	.0522758196985314	.00151530426709462	.0234914449668404	.0176334834276079	.67889746365894	7.26268052582897E-005	.283222692199201	.363383184897422	.840486391164529	.665706658565237	.00896124090350705	.000743948292776296	.265285102890087	.0847803902670909	2.88592244702531E-013	.00755138747806739	.0428275538393738	.0427496004826001	.474447883769722	.988910160986647	2.32528835265968E-007	.135711482000764	.819551900615007	.833280221300322	.613462098826262	.925803345174772	2.49760926005682E-027	2.46563344799841E-013	.018036024839297	.664027123678969	.307326323859618	.184121907517069	.290681088367708	.77995118930764	.195319596618465	.209884992358251	.00230379794640675	.255701909923109	.325009445355225	.000418506653431916	.648438460745424	.0417495029495522	.264586011901755	.106116634661491	.0374725713207393	.571830517623574	.663521611732888	.778764382880834	.33074825834942	.970555787932213	.978492099535615	.428127397936336	.912858933287886	.219870353003825	.015716660150236	.604864383580034	.100098106307704	.00206324111380063	5.62989633929655E-008	.735456775209367	.216149278460723	.0220573156589656	.0191805669541063	.52042416971142	.10672065517108	.495454688232298	.000276987897179657	.445349043723698	.0722093279546263	.42588709558726	.49545468823231	.745999630344475	.0512639344696299	.0512639344696299
survey_conservation	.0675186505118751	.320414451514675	.382269820644586	4.56186673734135E-041	.364404327374712	.000718201229036292	.270250230507223	.00475761231840043	1.65406930799296E-093	 	3.63360998176712E-072	.0975999802391823	3.0054972408452E-101	.296673164991768	8.8958949227565E-034	.56284280331834	3.21647224341809E-088	.707476723128285	2.63497773102539E-009	.0568894053446458	1.02616732131632E-005	.825677156381306	.322524502245522	.0796487582965124	.00946947428558837	.871932765323964	.561416408158707	.0539323436588161	.0257255088772385	.893472537528029	.262569504042056	3.88620093662103E-006	1.35490141564355E-071	5.73488275109853E-006	9.02380352126649E-008	.462462766550475	.0182689381468748	.0869291198426263	.179107368284221	.18301822096979	.00125235168301171	.512227485405534	.0856926911238913	.0536697752190867	.0889517804274879	2.42682454857166E-021	3.2002783139434E-052	.230026401373915	.0194781094173642	.570054127751608	.015620796161475	1.37493464997199E-014	.0334379588073256	.029186523348767	.0476134824627516	.990485634548754	.338089705926002	.292543232691303	.0366430034814791	.0245023692722002	.569833260374247	.130919586650717	.0336638911278143	1.49725876579917E-027	.0454793965680478	.0485694705556186	.00356085584564335	9.13817324192114E-012	.0385112771322682	.533885661614014	6.87826284353332E-005	.427660669704751	.101203008555359	.0715398605456292	.0951494470062983	.0284318889693544	1.26413600855188E-090	1.71307699251736E-024	.279071093150254	.094284553546824	.0424697563794703	.727217388197517	8.34895071763765E-028	.0692487340138707	.284426957203848	.5063638771752	.36655966563628	.232972214165156	1.21876056091143E-047	6.65783899463776E-007	.0139457952676748	.234620038544071	.280315358310918	.120934263606607	.0210899094376063	.430328327866863	.0461425368360383	.944080389030158	.00196484137743559	.443467147772195	.304498462437799	.0749488727203683	.428278042623482	.636722660179444	.175576165120753	.0681128851134763	.536800344203516	.0869421306463345	.969459507987794	.622221389121091	.249672000500913	.727510724108345	.347293516651779	.217033280499819	.018585822272669	.948668444026171	.455955447881493	.141958223262983	.315205421431741	.0665008405682182	.0523629287177736	.128457457361298	.0285240592650114	.0289421874328558	.0448273206047358	.204355196956984	.454947453187931	.373975872374491	.323748858605426	.0520999625863235	.67915548866884	.948946475181973	.373975872374489	.282352753715173	.0766159876143248	.0766159876143248
