'ServiceCity','ServiceState','ServiceZip','MeterMake','MeterModel','MeterSize','dateofaccountinitiation_d','SampleReads','SampleBegins_d','SampleEnds_d','AnnualKgal','SeasonalKgal','NonseasonalKgal','PctSeasonal','Log_AnnualKgal_Bin','wave','language','q8c','q8d','q15a','q15h','q20f','q21a','q31e','q33l','Clayton_attitude_A','Clayton_attitude_B','Clayton_attitude_C','Clayton_attitude_D','survey_year_moved_in','survey_number_of_bedrooms','survey_number_of_adults','survey_number_of_teenagers','survey_number_of_children','survey_number_of_infants','capita','utility','PrimaryFirst','survey_year','survey_number_of_toilets','survey_number_of_bathtub_showers','survey_number_of_bathtub_only','survey_number_of_whirlpools','survey_number_of_shower_only','survey_number_of_utility_sink','survey_number_of_bathtubs','survey_number_of_showers','survey_disposal','survey_ice_maker','survey_dishwasher','survey_clothes_washer_HE','survey_hot_water_tankless','survey_hot_water_on_demand','survey_evap_cooler','survey_humidifier','survey_treatment','survey_aquarium','survey_pets','survey_spa_indoor','survey_water_feature_indoor','survey_greenhouse_indoor','survey_other_features','survey_number_of_toilets_GT16','survey_number_of_toilets_16','survey_number_of_toilets_HET','survey_number_of_toilets_dual','survey_number_of_showers_hydra','survey_number_of_showers_rain','survey_number_of_showers_spray','survey_replaced_toilets_10','survey_replaced_showerheads_10','survey_replaced_clothes_washer_10','survey_replaced_dishwasher_10','survey_leak_toilet','survey_faucet_drips','survey_leak_pool','survey_leak_irrigation','survey_leak_other','survey_hot_water_gas','survey_hot_water_electric','survey_hot_water_propane','survey_hot_water_solar','survey_hot_water_wait','survey_hot_water_wait_kitchen','survey_hot_water_wait_master_bath','survey_hot_water_wait_other_bath','survey_hot_water_wait_other_room','survey_hot_water_waiting','survey_hot_water_wait_bother','survey_irrigation','survey_landscape_no_maintenance','survey_landscaper','survey_landscaper_waters','survey_well','survey_canal_ditch','survey_stream','survey_rain_barrel','survey_roof_direction','survey_gray_water','survey_other_sources_pct','survey_landscape_turf','survey_landscape_trees_and_shrubs','survey_garden_veggie','survey_garden_flower','survey_landscape_low_water','survey_landscape_nonirrigated','survey_manual_irrigation_pct','survey_irrigation_inground','survey_irrigation_inground_timer','survey_irrigation_inground_master','survey_irrigation_inground_bfp','survey_irrigation_inground_drip','survey_irrigation_manual_override','survey_irrigation_sensor_soil','survey_irrigation_sensor_rain','survey_irrigation_inground_timer_adjusted','survey_irrigation_inground_wbic','survey_spa_or_hot_tub_outdoor','survey_spa_or_hot_tub_outdoor_filled','survey_water_feature_outdoor','survey_pool','survey_pool_fill_automatic','survey_pool_cover_chemical','survey_pool_cover','survey_pool_cover_overnight','survey_car_washed','survey_walk_washed','survey_program_participation_3','survey_conservation_last_few','survey_giveaway_3','survey_retrofit_rebate_3','survey_landscape_rebate_3','survey_followed_guidelines','survey_replaced_clothes_washer_HE','survey_conservation_shower_short','survey_replaced_showerheads_LF','survey_toilet_inserts','survey_replaced_toilets_last_few','survey_disposal_used_less','survey_dishwasher_used_less','survey_clothes_washer_used_less','survey_faucet_drips_repaired','survey_audit_last_few','survey_shower_bucket','survey_replaced_dishwasher_HE','survey_car_washed_less_often','survey_irrigation_less_often','survey_irrigation_avoid_heat','survey_landscape_low_water_last_few','survey_irrigation_timer_shortened_last_few','survey_leak_irrigation_repaired','survey_irrigation_inground_monitor','survey_irrigation_inground_cycle','survey_gray_water_last_few','survey_rain_barrel_last_few','survey_drought','survey_household_pays','survey_year_built','survey_age_of_home','survey_years_in_home','survey_renter','survey_homies','survey_adults_employed','survey_baths_per_week','survey_showers_not_at_home','survey_highest_grade','survey_income','survey_participant','reuws2_attitude_A','reuws2_attitude_B','reuws2_attitude_C','reuws2_attitude_D','reuws2_attitude_E','reuws2_attitude_F','reuws2_attitude_G','reuws2_attitude_H','reuws2_attitude_I','reuws2_attitude_J','reuws2_attitude_K','reuws2_attitude_L','reuws2_attitude_M','reuws2_attitude_N','reuws2_attitude_O','reuws2_attitude_P','reuws2_attitude_Q','reuws2_attitude_R','reuws2_attitude_S','imported_d','MeterSPTypeDesc','Dateactive','SampleDays','AverageGPD','WinterReads','Fort_Collins_attitude_A','PremiseYear','Scottsdale_aerator_rebates','Scottsdale_irrigation_controller_rebates','Scottsdale_hot_water_recirculator_rebates','Scottsdale_showerhead_rebates','Scottsdale_toilet_rebates','Scottsdale_turf_rebates','Scottsdale_attitude_A','Scottsdale_attitude_B','Scottsdale_attitude_C','SurveyID'
'HAMPTON             ','GA','30228','BADGER              ','R5/8BADRTR','5/8       ','2004-11-20',12.00,'2010-01-01','2010-12-01',165.00,105.00,60.00,63.63,6.00,2.00,1.00,,,,,,,,,3.00,3.00,1.00,2.00,2007.00,4.00,2.00,0.00,3.00,0.00,5.00,51.00,1.00,2011.00,3.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.33,1.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,1.00,0.00,0.00,1.00,1.00,2.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1975.00,36.00,4.00,0.00,1.00,1.00,5.00,0.00,14.00,$37500.00,0.00,0.00,1.00,1.00,-0.50,-1.00,1.00,1.00,0.50,1.00,-1.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'2012-04-12','',,,,,,,,,,,,,,,,511998.00
'MORROW              ','GA','30260','                   ','M5/8UKN3D','5/8       ','1967-10-24',12.00,'2010-01-01','2010-12-01',168.00,72.00,96.00,42.85,6.00,2.00,1.00,,,,,,,,,,1.00,1.00,2.00,1997.00,4.00,3.00,0.00,0.00,0.00,3.00,51.00,1.00,2011.00,,1.00,1.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1965.00,46.00,14.00,0.00,1.00,3.00,2.00,2.00,10.00,$37500.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,-0.50,-1.00,,0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,511999.00
'JONESBORO           ','GA','30238','Badger              ','O3/4BADRTR','3/4       ','1966-06-01',12.00,'2010-01-01','2010-12-01',172.00,136.00,36.00,79.06,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,512000.00
'MORROW              ','GA','30260','Badger              ','O5/8BADRTR','5/8       ','1971-06-23',12.00,'2010-01-01','2010-12-01',175.00,55.00,120.00,31.42,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,512001.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','2005-04-24',12.00,'2010-01-01','2010-12-01',181.00,145.00,36.00,80.11,6.00,1.00,1.00,,,,,,,,,2.00,1.00,1.00,2.00,1996.00,3.00,2.00,0.00,0.00,0.00,2.00,51.00,1.00,2011.00,3.00,1.00,1.00,,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,,2.00,,1.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.67,1.00,1.00,0.00,0.00,,0.00,0.00,0.00,1.00,0.00,0.00,0.12,1.00,0.00,1.00,0.00,0.00,0.00,0.33,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,4.00,1.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.33,1.00,1997.50,13.50,15.00,0.00,1.00,0.00,5.00,2.00,16.00,,1.00,-1.00,,1.00,0.50,0.50,0.50,0.50,0.00,0.50,-1.00,-0.50,-1.00,0.50,0.50,0.50,-1.00,0.50,0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,512002.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','1990-07-16',12.00,'2010-01-01','2010-12-01',186.00,138.00,48.00,74.19,6.00,1.00,1.00,,,1.00,,,,,,3.00,2.00,3.00,3.00,2004.00,5.00,2.00,0.00,0.00,0.00,2.00,51.00,1.00,2011.00,4.00,1.00,,1.00,2.00,,1.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,,,,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.67,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,,,0.00,,,,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1992.00,19.00,7.00,0.00,1.00,2.00,0.00,0.00,13.00,$125000.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,512003.00
'MORROW              ','GA','30260','INVENSYS            ','R5/8INVECR','5/8       ','1996-10-10',12.00,'2010-01-01','2010-12-01',193.00,25.00,168.00,12.95,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,512004.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','1981-11-03',12.00,'2010-01-01','2010-12-01',199.00,91.00,108.00,45.72,6.00,1.00,1.00,,,,,,,,,2.00,2.00,2.00,1.00,2006.00,5.00,2.00,2.00,2.00,0.00,6.00,51.00,1.00,2011.00,5.00,1.00,0.00,1.00,3.00,0.00,1.00,4.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.50,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1985.00,26.00,5.00,0.00,0.00,2.00,5.00,0.00,16.00,$125000.00,1.00,1.00,1.00,1.00,0.50,0.50,-0.50,0.50,-1.00,0.50,-0.50,-1.00,-0.50,0.50,-0.50,-1.00,-0.50,0.50,-0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,512005.00
'RIVERDALE           ','GA','30274','Badger              ','O5/8BADRTR','5/8       ','1975-11-10',12.00,'2010-01-01','2010-12-01',209.00,53.00,156.00,25.35,6.00,2.00,1.00,,,,,,,,,3.00,2.00,3.00,3.00,2006.00,4.00,3.00,0.00,1.00,0.00,4.00,51.00,1.00,2011.00,2.00,1.00,,,1.00,0.00,1.00,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,2.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1985.00,26.00,5.00,0.00,1.00,2.00,0.00,0.00,12.00,$37500.00,0.00,-1.00,-1.00,0.50,-1.00,0.50,0.00,0.00,1.00,,-1.00,0.50,-1.00,1.00,0.50,0.50,-1.00,-0.50,-0.50,-1.00,'2012-04-12','',,,,,,,,,,,,,,,,512006.00
'JONESBORO           ','GA','30238','Badger              ','O5/8BADRTR','5/8       ','1997-02-19',12.00,'2010-01-01','2010-12-01',222.00,42.00,180.00,18.91,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,512007.00
'JONESBORO           ','GA','30236','Badger              ','O1"BADRTR','1         ','1996-08-27',12.00,'2010-01-01','2010-12-01',237.00,117.00,120.00,49.36,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,512008.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','1995-11-01',12.00,'2010-01-01','2010-12-01',274.00,190.00,84.00,69.34,6.00,1.00,1.00,1.00,,,,,,,,3.00,4.00,2.00,3.00,1980.00,2.00,2.00,0.00,0.00,0.00,2.00,51.00,1.00,2011.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,,0.00,1.00,0.00,0.00,0.33,0.50,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1985.00,26.00,31.00,0.00,0.00,0.00,,,,,1.00,-1.00,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,-1.00,-1.00,-1.00,1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,'2012-04-12','',,,,,,,,,,,,,,,,512009.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','1985-05-03',12.00,'2010-01-01','2010-12-01',364.00,304.00,60.00,83.51,6.00,1.00,1.00,,,1.00,,,,,,1.00,2.00,1.00,1.00,1985.00,4.00,2.00,0.00,0.00,0.00,2.00,51.00,1.00,2011.00,3.00,3.00,0.00,0.00,0.00,1.00,3.00,3.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,,,,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,0.00,0.00,0.33,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,1.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1985.00,26.00,26.00,0.00,2.00,0.00,5.00,0.00,18.00,$125000.00,1.00,1.00,1.00,-0.50,1.00,0.50,1.00,1.00,0.00,0.50,-1.00,0.50,-0.50,-0.50,-0.50,0.50,0.50,0.50,-0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,512010.00
'DENVER','CO','80227','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',43.00,0.00,43.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521001.00
'DENVER','CO','80219','','Neptune T10','3/4 Inch','',11.00,'2010-01-01','2010-12-01',247.00,227.00,19.99,91.90,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521002.00
'CENTENNIAL','CO','80112','','Neptune T10','3/4 Inch','',11.00,'2010-01-01','2010-12-01',74.00,26.02,47.97,35.16,3.00,1.00,,,,1.00,,,,,,,,,,2003.00,4.00,3.00,0.00,1.00,0.00,4.00,52.00,1.00,2011.00,2.00,1.00,,,1.00,,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,2.00,,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,1975.00,36.00,8.00,0.00,2.00,3.00,5.00,0.00,16.00,$125000.00,0.00,0.50,0.50,0.50,0.50,-0.50,-0.50,0.50,-0.50,1.00,1.00,-0.50,0.50,0.50,-0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521003.00
'DENVER','CO','80223','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',174.00,90.03,83.96,51.74,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521004.00
'LITTLETON','CO','80128','','Badger 35','3/4 Inch','',12.00,'2010-01-01','2010-12-01',39.00,11.01,27.98,28.23,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521005.00
'DENVER','CO','80223','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',50.00,22.01,27.98,44.02,2.00,2.00,,,,1.00,,,,,,,,,,2009.00,2.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.67,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,1955.00,56.00,2.00,0.00,0.00,1.00,1.00,0.00,18.00,$37500.00,1.00,0.50,1.00,0.50,0.50,-1.00,0.50,1.00,0.00,1.00,1.00,-1.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521006.00
'CENTENNIAL','CO','80112','','Badger 25','5/8 Inch','',11.00,'2010-01-01','2010-12-01',130.00,94.01,35.98,72.31,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521007.00
'DENVER','CO','80239','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',105.00,49.02,55.97,46.69,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521008.00
'DENVER','CO','80216','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',91.00,67.01,23.98,73.63,3.00,2.00,,,,1.00,,,,,,,,,,1958.00,1.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,1.00,1.00,,,,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,0.00,,,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,7.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,5.00,1.00,1940.00,71.00,53.00,0.00,1.00,0.00,0.00,0.00,14.00,$37500.00,0.00,0.50,0.50,1.00,-1.00,-1.00,1.00,1.00,0.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,-0.50,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521009.00
'DENVER','CO','80224','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',15.00,3.00,11.99,20.03,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521010.00
'LITTLETON','CO','80123','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',104.00,40.02,63.97,38.48,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521011.00
